TStationName,VehicleNo,VehicleType,Date
Hasthinapuram,TS12UA8374,GHMC SWATCH AUTO,04/10/2022 10:22:37
Hasthinapuram,TS11UC6747,GHMC SWATCH AUTO,04/10/2022 11:27:28
Hasthinapuram,TS11UC4974,PVT SWATCH AUTO,04/10/2022 09:20:14
Hasthinapuram,TS11UC0790,GHMC SWATCH AUTO,04/10/2022 10:49:33
Hasthinapuram,TS11UC0790,GHMC SWATCH AUTO,04/10/2022 07:48:34
Hasthinapuram,TS11UC0418,GHMC SWATCH AUTO,04/10/2022 12:44:59
Hasthinapuram,TS11UB9659,GHMC SWATCH AUTO,04/10/2022 11:51:55
Hasthinapuram,TS11UB8210,GHMC SWATCH AUTO,04/10/2022 11:58:39
Hasthinapuram,TS11UB1133,GHMC SWATCH AUTO,04/10/2022 13:12:06
Hasthinapuram,TS11UB0376,GHMC SWATCH AUTO,04/10/2022 10:25:22
Hasthinapuram,TS11UB0376,GHMC SWATCH AUTO,04/10/2022 08:30:48
Hasthinapuram,TS11UB0373,GHMC SWATCH AUTO,04/10/2022 09:11:39
Hasthinapuram,TS11UB0373,GHMC SWATCH AUTO,04/10/2022 07:48:12
Hasthinapuram,TS11UB0351,GHMC SWATCH AUTO,04/10/2022 12:51:45
Hasthinapuram,TS11UB0351,GHMC SWATCH AUTO,04/10/2022 10:00:22
Hasthinapuram,TS11UB0137,GHMC SWATCH AUTO,04/10/2022 10:07:31
Hasthinapuram,TS11UB0130,GHMC SWATCH AUTO,04/10/2022 14:40:25
Hasthinapuram,TS11UA8582,GHMC SWATCH AUTO,04/10/2022 11:28:50
Hasthinapuram,TS11UA8159,GHMC SWATCH AUTO,04/10/2022 09:09:29
Hasthinapuram,TS11UA7963,GHMC SWATCH AUTO,04/10/2022 12:10:23
Hasthinapuram,TS11UA7492,GHMC SWATCH AUTO,04/10/2022 15:49:59
Hasthinapuram,TS11UA7450,GHMC SWATCH AUTO,04/10/2022 11:50:03
Hasthinapuram,TS11UA7450,GHMC SWATCH AUTO,04/10/2022 09:06:23
Mallapur,TS11UA7112,GHMC SWATCH AUTO,04/10/2022 13:24:28
Mallapur,TS10US8760,GHMC SWATCH AUTO,04/10/2022 10:26:19
Mallapur,TS10UC6028,GHMC SWATCH AUTO,04/10/2022 12:15:40
Mallapur,TS10UB7645,GHMC SWATCH AUTO,04/10/2022 11:18:20
Mallapur,TS10UB6778,GHMC SWATCH AUTO,04/10/2022 11:49:15
Mallapur,TS10UB6778,GHMC SWATCH AUTO,04/10/2022 08:00:03
Mallapur,TS10UB5807,GHMC SWATCH AUTO,04/10/2022 10:42:39
Mallapur,TS10UB5804,GHMC SWATCH AUTO,04/10/2022 11:00:45
Mallapur,TS10UB5791,GHMC SWATCH AUTO,04/10/2022 07:37:11
Hasthinapuram,TS10BFTR9099,GHMC SWATCH AUTO,04/10/2022 08:17:17
Hasthinapuram,TS10BFTR7535,GHMC SWATCH AUTO,04/10/2022 13:04:30
Hasthinapuram,TS10BFTR7535,GHMC SWATCH AUTO,04/10/2022 09:28:12
Hasthinapuram,TS10BETR9925,GHMC SWATCH AUTO,04/10/2022 12:57:34
Hasthinapuram,TS10BETR9864,GHMC SWATCH AUTO,04/10/2022 10:57:51
Hasthinapuram,TS10BETR9864,GHMC SWATCH AUTO,04/10/2022 07:51:02
Mallapur,TS09UA5545,GHMC SWATCH AUTO,04/10/2022 10:26:53
"Saket ",TS08UV7459,GHMC SWATCH AUTO,04/10/2022 07:30:25
"Saket ",TS08UV7459,GHMC SWATCH AUTO,04/10/2022 06:10:25
Mallapur,TS08UG6401,GHMC SWATCH AUTO,04/10/2022 11:08:34
"Saket ",TS08UE8329,PVT SWATCH AUTO,04/10/2022 11:34:28
Mallapur,TS08UE7031,GHMC SWATCH AUTO,04/10/2022 14:44:10
Mallapur,TS08UE7031,GHMC SWATCH AUTO,04/10/2022 11:28:54
Mallapur,TS08UE6098,GHMC SWATCH AUTO,04/10/2022 10:09:43
"Saket ",TS08UE6061,GHMC SWATCH AUTO,04/10/2022 11:25:44
"Saket ",TS08UE6061,GHMC SWATCH AUTO,04/10/2022 08:35:27
"Saket ",TS08UE5900,GHMC SWATCH AUTO,04/10/2022 09:45:52
"Saket ",TS08UE5900,GHMC SWATCH AUTO,04/10/2022 07:20:42
Mallapur,TS08UE5852,GHMC SWATCH AUTO,04/10/2022 08:35:38
Mallapur,TS08UE5781,GHMC SWATCH AUTO,04/10/2022 12:43:03
Mallapur,TS08UE5781,GHMC SWATCH AUTO,04/10/2022 10:27:16
Mallapur,TS08UE5781,GHMC SWATCH AUTO,04/10/2022 08:18:12
Mallapur,TS08UE5684,GHMC SWATCH AUTO,04/10/2022 13:23:17
Mallapur,TS08UE5684,GHMC SWATCH AUTO,04/10/2022 12:13:48
Mallapur,TS08UE5684,GHMC SWATCH AUTO,04/10/2022 09:17:25
Mallapur,TS08UE5675,GHMC SWATCH AUTO,04/10/2022 11:49:43
Mallapur,TS08UE5675,GHMC SWATCH AUTO,04/10/2022 08:21:40
Hasthinapuram,TS08UB9763,GHMC SWATCH AUTO,04/10/2022 12:45:57
Hasthinapuram,TS08UB9763,GHMC SWATCH AUTO,04/10/2022 06:08:08
Hasthinapuram,TS08UB9704,GHMC SWATCH AUTO,04/10/2022 10:36:01
Hasthinapuram,TS08UB9381,GHMC SWATCH AUTO,04/10/2022 10:53:08
Hasthinapuram,TS08UB8907,GHMC SWATCH AUTO,04/10/2022 11:49:43
Hasthinapuram,TS08UB8895,GHMC SWATCH AUTO,04/10/2022 16:43:47
Hasthinapuram,TS08UB8895,GHMC SWATCH AUTO,04/10/2022 08:53:21
Hasthinapuram,TS08UB8841,GHMC SWATCH AUTO,04/10/2022 12:46:21
Hasthinapuram,TS08UB8841,GHMC SWATCH AUTO,04/10/2022 09:30:01
Hasthinapuram,TS08UB8824,GHMC SWATCH AUTO,04/10/2022 09:00:40
Hasthinapuram,TS08UB8230,GHMC SWATCH AUTO,04/10/2022 11:21:24
Hasthinapuram,TS08UB8230,GHMC SWATCH AUTO,04/10/2022 08:42:01
Hasthinapuram,TS08UB8230,GHMC SWATCH AUTO,04/10/2022 06:18:28
Hasthinapuram,TS08UB8222,GHMC SWATCH AUTO,04/10/2022 07:07:04
Hasthinapuram,TS08UB8113,GHMC SWATCH AUTO,04/10/2022 12:09:37
Hasthinapuram,TS08UB8107,GHMC SWATCH AUTO,04/10/2022 16:17:37
Hasthinapuram,TS08UB8107,GHMC SWATCH AUTO,04/10/2022 11:38:56
Hasthinapuram,TS08UB8064,GHMC SWATCH AUTO,04/10/2022 09:07:42
Mallapur,TS08UB7944,GHMC SWATCH AUTO,04/10/2022 15:56:08
Mallapur,TS08UB7944,GHMC SWATCH AUTO,04/10/2022 11:00:15
Hasthinapuram,TS08UB7918,GHMC SWATCH AUTO,04/10/2022 12:29:32
Hasthinapuram,TS08UB7918,GHMC SWATCH AUTO,04/10/2022 09:54:48
Hasthinapuram,TS08UB7910,GHMC SWATCH AUTO,04/10/2022 09:39:21
Hasthinapuram,TS08UB7678,GHMC SWATCH AUTO,04/10/2022 17:33:31
Hasthinapuram,TS08UB7678,GHMC SWATCH AUTO,04/10/2022 10:29:34
Hasthinapuram,TS08UB7671,GHMC SWATCH AUTO,04/10/2022 09:46:43
Hasthinapuram,TS08UB7671,GHMC SWATCH AUTO,04/10/2022 08:16:50
Hasthinapuram,TS08UB6995,GHMC SWATCH AUTO,04/10/2022 13:28:31
Hasthinapuram,TS08UB6995,GHMC SWATCH AUTO,04/10/2022 08:33:48
Hasthinapuram,TS08UB6449,GHMC SWATCH AUTO,04/10/2022 10:50:06
"Saket ",TS08UB5750,GHMC SWATCH AUTO,04/10/2022 10:56:19
"Saket ",TS08UB5750,GHMC SWATCH AUTO,04/10/2022 09:27:05
Mallapur,TS08UA9962,GHMC SWATCH AUTO,04/10/2022 14:44:33
Mallapur,TS08UA9962,GHMC SWATCH AUTO,04/10/2022 08:49:26
"Saket ",TS08UA9271,GHMC SWATCH AUTO,04/10/2022 11:10:33
Mallapur,TS08UA9128,GHMC SWATCH AUTO,04/10/2022 13:47:50
Mallapur,TS08UA8861,GHMC SWATCH AUTO,04/10/2022 10:39:55
Mallapur,TS08UA8861,GHMC SWATCH AUTO,04/10/2022 09:16:50
Mallapur,TS08UA8666,GHMC SWATCH AUTO,04/10/2022 12:50:32
"Saket ",TS08UA8625,GHMC SWATCH AUTO,04/10/2022 16:43:18
"Saket ",TS08UA8625,GHMC SWATCH AUTO,04/10/2022 09:58:17
"Saket ",TS08UA7589,GHMC SWATCH AUTO,04/10/2022 11:31:49
"Saket ",TS08UA7589,GHMC SWATCH AUTO,04/10/2022 08:38:59
Mallapur,TS08UA7522,GHMC SWATCH AUTO,04/10/2022 10:39:31
"Saket ",TS08UA7405,GHMC SWATCH AUTO,04/10/2022 11:57:45
"Saket ",TS08UA7405,GHMC SWATCH AUTO,04/10/2022 09:02:34
"Saket ",TS08UA7400,GHMC SWATCH AUTO,04/10/2022 09:38:59
Mallapur,TS08UA7377,GHMC SWATCH AUTO,04/10/2022 11:32:42
"Saket ",TS08UA7374,GHMC SWATCH AUTO,04/10/2022 13:38:48
"Saket ",TS08UA7177,GHMC SWATCH AUTO,04/10/2022 10:47:29
"Saket ",TS08UA7103,GHMC SWATCH AUTO,04/10/2022 16:09:01
"Saket ",TS08UA7103,GHMC SWATCH AUTO,04/10/2022 11:49:20
"Saket ",TS08UA6877,GHMC SWATCH AUTO,04/10/2022 09:46:55
"Saket ",TS08UA6874,GHMC SWATCH AUTO,04/10/2022 12:28:34
"Saket ",TS08UA6874,GHMC SWATCH AUTO,04/10/2022 08:26:29
Mallapur,TS08UA6743,GHMC SWATCH AUTO,04/10/2022 09:13:35
Mallapur,TS08UA6743,GHMC SWATCH AUTO,04/10/2022 07:37:53
Mallapur,TS08UA6741,GHMC SWATCH AUTO,04/10/2022 13:23:45
Mallapur,TS08UA6741,GHMC SWATCH AUTO,04/10/2022 11:16:17
Mallapur,TS08UA6738,GHMC SWATCH AUTO,04/10/2022 09:13:16
Mallapur,TS08UA6561,GHMC SWATCH AUTO,04/10/2022 11:16:52
"Saket ",TS08UA6556,GHMC SWATCH AUTO,04/10/2022 11:19:56
"Saket ",TS08UA6556,GHMC SWATCH AUTO,04/10/2022 07:11:37
"Saket ",TS08UA6546,GHMC SWATCH AUTO,04/10/2022 15:35:00
"Saket ",TS08UA6546,GHMC SWATCH AUTO,04/10/2022 13:26:40
"Saket ",TS08UA6546,GHMC SWATCH AUTO,04/10/2022 09:55:45
"Saket ",TS08UA6546,GHMC SWATCH AUTO,04/10/2022 07:31:47
Mallapur,TS08UA5919,GHMC SWATCH AUTO,04/10/2022 08:34:26
Mallapur,TS08UA5918,GHMC SWATCH AUTO,04/10/2022 11:26:10
Mallapur,TS08UA5918,GHMC SWATCH AUTO,04/10/2022 09:13:57
Mallapur,TS08UA5833,GHMC SWATCH AUTO,04/10/2022 09:51:51
Mallapur,TS08UA5833,GHMC SWATCH AUTO,04/10/2022 08:00:33
"Saket ",TS08UA5827,GHMC SWATCH AUTO,04/10/2022 16:21:47
"Saket ",TS08UA5746,GHMC SWATCH AUTO,04/10/2022 12:27:35
"Saket ",TS08UA5746,GHMC SWATCH AUTO,04/10/2022 09:29:03
"Saket ",TS08UA5531,GHMC SWATCH AUTO,04/10/2022 06:37:58
"Saket ",TS08UA5524,GHMC SWATCH AUTO,04/10/2022 13:47:47
"Saket ",TS08UA5524,GHMC SWATCH AUTO,04/10/2022 07:32:30
"Saket ",TS08UA5522,GHMC SWATCH AUTO,04/10/2022 09:50:26
"Saket ",TS08UA5380,GHMC SWATCH AUTO,04/10/2022 10:03:43
"Saket ",TS08UA5380,GHMC SWATCH AUTO,04/10/2022 09:31:20
"Saket ",TS08U8064,GHMC SWATCH AUTO,04/10/2022 08:50:13
Mallapur,TS08TU4926,GHMC SWATCH AUTO,04/10/2022 11:14:26
Mallapur,TS08TU4926,GHMC SWATCH AUTO,04/10/2022 08:56:23
Hasthinapuram,TS08TR 4282,PVT SWATCH AUTO,04/10/2022 10:57:31
Hasthinapuram,TS07UG6233,PVT SWATCH AUTO,04/10/2022 17:32:35
Hasthinapuram,TS07UG6233,PVT SWATCH AUTO,04/10/2022 09:41:45
Hasthinapuram,TS07UG0611,PVT SWATCH AUTO,04/10/2022 11:58:07
Hasthinapuram,TS07UE0062,GHMC SWATCH AUTO,04/10/2022 09:08:41
Hasthinapuram,TS07UB7921,PVT SWATCH AUTO,04/10/2022 11:28:12
Hasthinapuram,TS07UB7921,PVT SWATCH AUTO,04/10/2022 08:59:23
Hasthinapuram,TS07UB0314,GHMC SWATCH AUTO,04/10/2022 09:29:09
Hasthinapuram,TS06UB0220,PVT SWATCH AUTO,04/10/2022 11:20:28
Auto Nagar,TS 04 UC 5338,GHMC SWATCH AUTO,04/10/2022 09:59:16
Hasthinapuram,AP9B4110,PVT SWATCH AUTO,04/10/2022 10:35:08
Mallapur,AP29V0112,PVT SWATCH AUTO,04/10/2022 12:49:19
Mallapur,AP29V0112,PVT SWATCH AUTO,04/10/2022 10:08:12
Mallapur,AP29V0112,PVT SWATCH AUTO,04/10/2022 07:46:35
